Model.Year,Type,Weight,Horsepower,Acceleration,MPG,CO2
1995,SUV,3500,94,13.2003,20.99489,423.29349
1996,SUV,3500,130,11.1597,20.29168,437.9628
1997,SUV,3500,130,11.7893,18.92057,469.70034
1998,SUV,3500,130,12.1865,19.7447,450.09547
1999,SUV,3500,130,12.2307,19.66936,451.81956
2000,SUV,3500,130,11.7105,18.74666,474.05774
2001,SUV,3500,130,11.5504,18.37903,483.54033
2002,SUV,3500,130,11.7057,18.44391,481.83933
2005,SUV,3851.313,163.1866,10.4201,20.80417,427.1739
2006,SUV,3815.006,160.7904,10.5694,20.94009,424.40127
2007,SUV,3962.947,191.2945,9.9334,20.03961,443.47173
2008,SUV,4049.842,197.1426,9.8607,20.00359,444.27021
2009,SUV,3989.387,196.0193,9.6886,20.60742,431.25245
2010,SUV,3543.117,143.0383,11.123,22.41256,396.51868
2011,SUV,3923.177,201.9355,8.9255,24.24259,366.58626
2012,SUV,3973.838,210.6847,8.7638,23.86686,372.35729
2013,SUV,3977.753,213.0688,8.7082,23.82232,373.05345
2014,SUV,3999.06,218.9243,8.6238,22.23822,399.62725
2015,SUV,3970.311,217.0826,8.6279,22.62763,392.74986
2016,SUV,3884.135,193.3997,9.0337,23.93099,371.35944
2017,SUV,3766.692,189.4091,8.982,25.08985,354.20692
2018,SUV,3695.494,186.7064,8.9379,25.66584,346.25787
2019,SUV,3522.018,183.466,8.7999,26.36402,337.08814
2020,SUV,3524.429,183.6383,8.7964,26.82236,331.32805
2021,SUV,3352.122,171.6906,8.9729,28.49938,311.83136
2022,SUV,3403.956,175.1942,8.9226,27.97274,317.70216
2002,Van,5000,193,10.7733,16.23729,547.32029
2003,Van,5000,193,10.6798,16.18822,548.97934
2004,Van,5000,195,10.6295,17.25561,515.02089
2005,Van,5000,195,10.564,17.30949,513.41774
2006,Van,4500,244,8.6758,19.16081,463.81128
2007,Van,4500,244,8.7507,19.16081,463.81128
2008,Van,4500,244,8.8051,19.16081,463.81128
2009,Van,4500,250,8.4784,19.16081,463.81127
2010,Van,4500,250,8.5694,19.84192,447.89004
2011,Van,4500,271,7.9616,21.27521,417.71614
2012,Van,4500,271,7.9616,21.27521,417.71614
2014,Van,4500,269,7.9979,20.24938,438.87768
2015,Van,4557.714,276,7.9611,20.8364,426.5132
